,Actor,Movies
295,Zach Braff,"['Garden State', 'The Broken Hearts Club: A Romantic Comedy', 'Chicken Little']"
296,Jean Simmons,"['Final Fantasy: The Spirits Within', 'Hamlet', 'Spartacus']"
297,Jean Champion,['Day for Night']
298,Philip Bosco,"[""Nobody's Fool"", 'Shaft', ""My Best Friend's Wedding""]"
299,Kyle MacLachlan,"['The Doors', 'The Flintstones', 'Dune', 'Twin Peaks: Fire Walk With Me', 'Hamlet', 'The Librarian']"
300,Joe Pesci,"['JFK', 'Casino', 'Home Alone 2: Lost in New York']"
301,Dennis Price,"[""I'm All Right Jack"", 'Victim', ""Private's Progress"", 'Oh... Rosalinda!!']"
302,Lana Turner,"['Peyton Place', ""Dead Men Don't Wear Plaid"", 'Madame X']"
303,John Leguizamo,"['Revenge', 'Romeo + Juliet', 'Assault on Precinct 13', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'Super Mario Bros.', 'Ice Age', 'Spawn', ""Carlito's Way"", 'Moulin Rouge!', 'Dr. Dolittle 2', 'Collateral Damage']"
304,Eleanor Columbus,"[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets']"
305,Ally Sheedy,"[""St. Elmo's Fire"", 'Short Circuit', 'Home Alone 2: Lost in New York']"
306,Frederic Forrest,"['Tucker: The Man and His Dream', 'The Rose', 'Music Box']"
307,George Carlin,"['Cars', 'Car Wash', 'Dogma', 'Jersey Girl', ""Bill & Ted's Excellent Adventure"", ""Bill & Ted's Bogus Journey""]"
308,Terry Kilburn,"['A Christmas Carol', 'Goodbye, Mr. Chips']"
309,John Malkovich,"['The Messenger: The Story of Joan of Arc', 'Rounders', 'Eragon', 'Making Mr. Right', 'The Portrait of a Lady', 'The Killing Fields', ""The Hitchhiker's Guide to the Galaxy"", 'Of Mice and Men', 'Alive']"
310,Peter O'Toole,"['Goodbye, Mr. Chips', 'Lawrence of Arabia', ""Murphy's War"", 'Ratatouille', 'Troy', 'Caligula', ""What's New Pussycat?""]"
311,Rhys Ifans,"['Elizabeth: The Golden Age', 'Human Nature', 'The Replacements', 'Vanity Fair', 'Little Nicky', 'Notting Hill']"
312,David Koechner,"['Austin Powers:The Spy Who Shagged Me', 'Anchorman: The Legend of Ron Burgundy', 'Out Cold', 'The Dukes of Hazzard']"
313,Simone Signoret,"['Ship of Fools', 'Les Diaboliques']"
314,J. T. Walsh,"['Sniper', 'Nixon']"
315,Dennis Quaid,"['Dreamscape', 'The Alamo', 'Traffic', 'Savior', 'Frequency', 'Caveman']"
316,Diane Venora,"['F/X', 'Romeo + Juliet', 'Heat', 'The Cotton Club', 'The Insider', 'Hamlet']"
317,Diane Keaton,"[""Marvin's Room"", 'Sleeper', ""Something's Gotta Give"", 'Father of the Bride', 'The Godfather Part III', 'Manhattan']"
318,Gene Kelly,"[""That's Entertainment III"", 'Xanadu', ""That's Entertainment!"", 'Anchors Aweigh']"
319,Richard Norton,"[""China O'Brien"", 'Mr. Nice Guy']"
320,Stephen Tobolowsky,"['Sneakers', 'Garfield', 'Hero', 'Groundhog Day']"
321,James Belushi,"['Thief', 'K-9', 'About Last Night', 'Mr. Destiny', 'Salvador', 'Once Upon a Crime...']"
322,Billy Bletcher,"[""I Haven't Got a Hat"", ""Porky's Duck Hunt"", 'Pigs Is Pigs']"
323,Charles McGraw,"['The Birds', 'Spartacus', ""It's a Mad, Mad, Mad, Mad World"", ""Dead Men Don't Wear Plaid""]"
324,Kelly Macdonald,"['Trainspotting', 'Elizabeth', 'Intermission']"
325,Gabriel Byrne,"['The Keep', 'Gothic', ""Miller's Crossing"", 'Ghost Ship', 'Assault on Precinct 13', 'Excalibur', 'Into the West', 'Enemy of the State', 'Point of No Return', 'Vanity Fair', 'P.S.', 'Stigmata', 'Spider', 'Little Women']"
326,Bruce Payne,"['The Keep', 'Dungeons & Dragons']"
327,Robert Hays,"[""Cat's Eye"", 'Airplane!']"
328,James Fleet,"['Sense and Sensibility', 'The Phantom of the Opera']"
329,Jamie Rene Smith,"[""Dante's Peak""]"
330,Peter Lawford,"['The Longest Day', ""Ocean's Eleven"", 'Exodus', ""That's Entertainment!""]"
331,Eric Johnson,['Ginger Snaps 2: Unleashed']
332,Geoffrey Lewis,"[""National Lampoon's Last Resort"", 'Maverick', 'The Lawnmower Man', ""Heaven's Gate""]"
333,William Fichtner,"['Pearl Harbor', ""What's the Worst That Could Happen?"", 'Heat', 'Armageddon', 'Equilibrium', 'Contact', 'Go', 'Strange Days']"
334,Kenneth Mars,"['The Producers', 'The Little Mermaid', ""What's Up, Doc?""]"
335,Julie Hagerty,"['What About Bob?', 'Airplane!']"
336,John Carroll Lynch,"['Volcano', 'Fargo']"
337,James Gammon,"['Major League', 'Cabin Boy', 'Cold Mountain']"
338,Ricky Jay,"['Magnolia', 'Heist']"
339,Dom DeLuise,"['An American Tail: Fievel Goes West', 'Robin Hood: Men in Tights', 'Fail-Safe', 'Oliver & Company']"
340,Crispin Glover,"[""What's Eating Gilbert Grape"", 'Wild at Heart', ""Charlie's Angels: Full Throttle"", ""Charlie's Angels"", 'Willard']"
341,Daphne Zuniga,"['Vision Quest', 'Gross Anatomy']"
342,Mark Hamill,"['Batman Beyond: Return of the Joker', 'Star Wars Episode IV: A New Hope', 'Robotech: The Shadow Chronicles', 'Star Wars Episode V: The Empire Strikes Back', 'Star Wars Episode VI: Return of the Jedi', 'Batman: Mask of the Phantasm']"
343,Anna May Wong,"['Shanghai Express', 'The Thief of Bagdad', 'Piccadilly']"
344,Glenne Headly,"['Dirty Rotten Scoundrels', 'Making Mr. Right', 'The X Files', 'Eulogy', 'Dick Tracy', ""Mr. Holland's Opus""]"
345,Deborah Kerr,"['Heaven Knows, Mr. Allison', 'Quo Vadis', 'Edward, My Son', 'Bonjour tristesse']"
346,Lily Tomlin,"['The Kid', 'Orange County', 'Nashville', 'I heart Huckabees']"
347,Michael Rapaport,"['Dr. Dolittle 2', 'Kiss of Death', 'Hitch']"
348,Gladys Cooper,"['Love Letters', 'Now, Voyager']"
349,"Christopher ""Kid"" Reid","['House Party', 'The Temptations']"
350,John Glover,"['Gremlins 2: The New Batch', 'Batman & Robin']"
351,Tristine Skyler,['Book of Shadows: Blair Witch 2']
352,Minor Watson,"['The Star', 'Boys Town']"
353,Elpidia Carrillo,"['Predator', 'My Family', 'Salvador']"
354,Debra Winger,"['E.T. the Extra-Terrestrial', 'Eulogy']"
355,Huntley Ritter,"['Bring It On', 'Voodoo Academy']"
356,Laurence Harvey,"['Night Watch', 'The Alamo', 'The Manchurian Candidate', 'Darling']"
357,Juliet Berto,['Celine et Julie vont En Bateau']
358,Olivia Newton-John,"['Grease', 'Xanadu']"
359,Woody Harrelson,"['Anger Management', 'The People vs. Larry Flynt', 'The Thin Red Line']"
360,Rachael Lillis,"['Pokamon: Legend Comes to Life', 'Pokamon: Jirachi Wishmaker', 'Pokamon: Destiny Deoxys', 'Pokamon: Lucario and the Mystery of Mew']"
361,Robbie Coltrane,"['Harry Potter and the Chamber of Secrets', 'Mona Lisa', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", ""Ocean's Twelve"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Henry V', 'Harry Potter and the Half-Blood Prince']"
362,John Wayne,"['The Longest Day', ""In Harm's Way"", 'Rio Bravo', 'El Dorado', 'The Green Berets', 'McLintock!', 'Rio Grande', 'How the West Was Won', 'The Alamo', 'Stagecoach', ""Donovan's Reef"", 'The Searchers', 'Red River']"
363,Virginia McKenna,"['Waterloo', 'The Cruel Sea']"
364,Hal Holbrook,"['Julia', ""Cats Don't Dance"", 'Wall Street', ""John Carpenter's The Fog"", 'Hercules', 'Midway', 'The Firm']"
365,Rae Dawn Chong,"['Commando', 'Tales from the Darkside: The Movie']"
366,Imelda Staunton,"['Harry Potter and the Order of the Phoenix', 'Sense and Sensibility', ""Peter's Friends"", 'Crush']"
367,Diane Lane,"['Jack', 'Ladies and Gentlemen, The Fabulous Stains', 'The Cotton Club', 'My Dog Skip', 'Under the Tuscan Sun', 'Chaplin', 'Unfaithful']"
368,Paul Rudd,"['P.S.', 'Anchorman: The Legend of Ron Burgundy', 'Romeo + Juliet']"
369,Edward Furlong,"['Detroit Rock City', 'Terminator 2: Judgment Day']"
370,Lawrence Makoare,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring']"
371,Lumi Cavazos,"['Bottle Rocket', 'In the Time of the Butterflies']"
372,Bubba Smith,"['Police Academy 2: Their First Assignment', 'Police Academy']"
373,Christine Taylor,"['The Craft', 'Dodgeball: A True Underdog Story', 'Party Girl']"
374,Steve Jones,"['Ladies and Gentlemen, The Fabulous Stains']"
375,Kathryn Morris,"['The Contender', 'Minority Report']"
376,Jeff Goldblum,"['Cats & Dogs', 'Jurassic Park', 'Independence Day', 'The Fly', 'The Big Chill', 'The Lost World: Jurassic Park']"
377,Michael Clarke Duncan,"['The Green Mile', 'Daredevil', 'Armageddon', 'Delgo', 'Sin City', 'The Island', 'Friday', 'Planet of the Apes']"
378,Yee Jee Tso,"['Doctor Who', 'Antitrust']"
379,Jon Finch,"['Macbeth', 'Kingdom of Heaven', 'Lady Caroline Lamb']"
380,Jeff Bennett,"[""Mickey's Twice Upon a Christmas"", ""Lady and the Tramp II: Scamp's Adventure"", ""Atlantis: Milo's Return""]"
381,Dana Wynter,"['Airport', 'Sink the Bismarck!']"
382,Ethel Barrymore,"[""The Farmer's Daughter"", 'Pinky']"
383,Tim McInnerny,"['Notting Hill', 'Blackadder: Back & Forth', 'Richard III']"
384,James Shigeta,"['Lost Horizon', 'Brother']"
385,C. Thomas Howell,"['E.T. the Extra-Terrestrial', 'Gettysburg']"
386,Stephen Lang,"['Manhunter', 'Project X', 'Gettysburg']"
387,Erik Rhodes,['Top Hat']
388,Audrey Tautou,"['Dirty Pretty Things', ""L'Auberge espagnole""]"
389,Ron Silver,"['Ali', 'Mr. Saturday Night']"
390,Jason Alexander,"['The Hunchback of Notre Dame', ""Jacob's Ladder"", 'North']"
391,"Sammy Davis, Jr.","[""That's Dancing!"", ""Ocean's Eleven""]"
392,Robert Stephens,"['Henry V', 'Romeo and Juliet', 'Morgan: A Suitable Case for Treatment']"
393,Maaya Sakamoto,"['Escaflowne', 'Final Fantasy VII: Advent Children']"
394,Tcheky Karyo,"['The Patriot', 'Addicted to Love', 'Wing Commander', 'Bad Boys']"
395,Peter Firth,"['Lifeforce', 'Aces High']"
396,Carina Lau,"['2046', ""He's a Woman, She's a Man""]"
397,Debbie Reynolds,"['In & Out', 'Rugrats in Paris: The Movie', 'How the West Was Won']"
398,Donald Sutherland,"['JFK', 'Fallen', ""Kelly's Heroes"", 'Six Degrees of Separation', ""Don't Look Now"", 'Outbreak', '1900', 'Cold Mountain', 'Buffy the Vampire Slayer', 'Backdraft', 'Final Fantasy: The Spirits Within', 'Panic', 'MASH', ""National Lampoon's Animal House""]"
399,Rip Torn,"['Cross Creek', 'Hercules', 'Men in Black', 'Dodgeball: A True Underdog Story', 'Eulogy', ""By Dawn's Early Light"", 'The Insider']"
400,Denholm Elliott,"['The Cruel Sea', 'King Rat', 'Watership Down', 'Percy', 'The Boys from Brazil']"
401,Pamela Brown,"[""I Know Where I'm Going!"", 'Richard III']"
402,Timothy Olyphant,"['Gone in Sixty Seconds', 'The Broken Hearts Club: A Romantic Comedy', 'Rock Star', 'Go']"
403,Michael Moore,"['The Big One', 'Roger & Me', 'Fahrenheit 9/11', 'Fahrenheit 9/11Â½']"
404,James LeGros,"['Singles', 'Point Break', 'Bad Girls']"
405,Eric Bogosian,"['Under Siege 2: Dark Territory', 'Ararat']"
406,Michael Richards,"['UHF', 'Problem Child']"
407,Tomas Milian,"['King David', 'Traffic']"
408,John Ritter,"['Tadpole', 'It', 'Problem Child', 'North', 'Panic', 'The Dreamer of Oz: The L. Frank Baum Story']"
409,James Neill,['King of Kings']
410,Adrien Brody,"['The Village', 'The Thin Red Line', 'King of the Hill', 'The Singing Detective', 'King Kong']"
411,Mark Rolston,"['Rush Hour', 'Aliens']"
412,Dale Fuller,['Greed']
413,Queen Latifah,"[""The Muppets' Wizard of Oz"", 'Barbershop 2: Back in Business', 'Taxi', 'Sphere', 'Chicago']"
414,Zygmunt Malanowicz,['Knife in the Water']
415,Tom Hanks,"['The Green Mile', 'Splash', ""The 'Burbs"", 'Apollo 13', 'That Thing You Do!', ""You've Got Mail"", 'Radio Flyer', 'Philadelphia']"
416,David Hyde Pierce,"['Full Frontal', ""A Bug's Life"", 'Nixon']"
417,Jeanne Crain,"['State Fair', 'Pinky']"
418,Miguel Ferrer,"['Blank Check', 'Revenge', 'Hot Shots! Part Deux', 'Point of No Return']"
419,Lauren Holly,"['Sabrina', 'Dumb & Dumber', 'Dragon: The Bruce Lee Story']"
420,John Le Mesurier,"['The Fiendish Plot of Dr. Fu Manchu', 'Jabberwocky']"
421,Sergio Rubini,"['The Talented Mr. Ripley', 'Nirvana']"
422,Giovanni Ribisi,"['Gone in Sixty Seconds', 'The Gift', 'Boiler Room', 'Basic', 'Cold Mountain', 'Heaven', 'Lost in Translation', 'That Thing You Do!']"
423,Carolyn Jones,"['House of Wax', 'How the West Was Won']"
424,Lorraine Gary,"['Jaws', '1941']"
425,Cyril Cusack,"['1984', 'Gone to Earth']"
426,Thelma Ritter,"['Perfect Strangers', 'Titanic', 'How the West Was Won', 'The Misfits', 'Pillow Talk']"
427,Juliette Lewis,"[""National Lampoon's Christmas Vacation"", ""What's Eating Gilbert Grape"", 'Strange Days', 'Starsky & Hutch', 'Cape Fear']"
428,Ticky Holgado,"['Delicatessen', 'Uranus']"
429,Robert Guillaume,"[""The Lion King II: Simba's Pride"", 'Lean on Me']"
430,Jonathan Frakes,"['Star Trek: First Contact', 'Star Trek Nemesis', 'Star Trek: Generations', 'Star Trek: Insurrection']"
431,Talisa Soto,"['Mortal Kombat', 'Ballistic: Ecks vs. Sever', 'Mortal Kombat: Annihilation']"
432,Chris Penn,"['Rush Hour', ""Beethoven's 2nd"", 'The Funeral', 'To Wong Foo, Thanks for Everything! Julie Newmar']"
433,James D'Arcy,"['Master and Commander: The Far Side of the World', 'Exorcist: The Beginning']"
434,Susan Tyrrell,"['Flesh & Blood', 'Wizards']"
435,Colleen Camp,"['My Blue Heaven', 'Clue', 'Rat Race', 'Police Academy 2: Their First Assignment', 'Die Hard: With a Vengeance']"
436,Laurence Fishburne,"['Mystic River', ""What's Love Got to Do with It"", 'Assault on Precinct 13', ""Hearts of Darkness: A Filmmakers's Apocalypse"", 'The Cotton Club', 'Event Horizon']"
437,Zero Mostel,"['The Producers', 'Watership Down']"
438,Vittorio Gassman,"['Sleepers', 'Quintet']"
439,Anne Meara,"['The Boys from Brazil', 'Heavy Weights', ""Amy Stiller's Breast"", 'Fame']"
440,Jennifer Connelly,"['Pollock', 'Hulk', 'Labyrinth']"
441,Edward Fox,"['Gandhi', 'Battle of Britain', 'Lost in Space', ""All the Queen's Men""]"
442,Annabeth Gish,"['Double Jeopardy', 'SLC Punk!', 'Nixon']"
443,Shirley Henderson,"['Trainspotting', 'Intermission']"
444,Sting,"['Dune', 'Quadrophenia']"
445,Michael J. Fox,"['Atlantis: The Lost Empire', 'Homeward Bound: The Incredible Journey', 'The American President']"
446,Scott Caan,"['Black and White', 'Boiler Room', 'Bongwater', ""Ocean's Twelve"", 'Enemy of the State', 'Nowhere']"
447,Elaine Hendrix,"['What the #$*! Do We Know!?', ""Romy and Michele's High School Reunion""]"
448,Michel Piccoli,"['Topaz', 'Contempt', 'From Time to Time/""De Temps en Temps""', 'Atlantic City', 'Divine Intervention']"
449,Nancy Allen,"['1941', 'The Philadelphia Experiment']"
450,Saul Rubinek,"['The Contender', ""Santa's Slay""]"
451,Kenneth More,"['Battle of Britain', 'Scrooge', 'Sink the Bismarck!', 'Genevieve', 'The Longest Day']"
452,Angell Conwell,"['Baby Boy', 'The Wash']"
453,Ed Harris,"['State of Grace', 'Walker', 'Pollock', 'Apollo 13', 'Nixon', 'The Rock', 'The Firm', 'Sweet Dreams']"
454,Frankie Muniz,"['Agent Cody Banks 2: Destination London', 'My Dog Skip']"
455,Luis Guzman,"['Anger Management', ""Lemony Snicket's A Series of Unfortunate Events"", 'Magnolia', ""Carlito's Way"", 'Snake Eyes']"
456,Roger Livesey,"[""I Know Where I'm Going!"", 'The League of Gentlemen']"
457,Robin Shou,"['Mortal Kombat: Annihilation', 'Mortal Kombat']"
458,Guy Boyd,['Caravan of Courage: An Ewok Adventure']
459,Brian Cox,"['Manhunter', 'The Bourne Supremacy', 'The Bourne Identity', 'Rob Roy', 'Adaptation', 'Troy', 'Rushmore', 'X2', 'For Love of the Game', '25th Hour']"
460,Ben Affleck,"['Daredevil', 'Dazed and Confused', 'Boiler Room', 'Armageddon', 'Dogma', 'Jersey Girl', 'Pearl Harbor']"
461,Graham Greene,"['The Green Mile', 'Maverick', 'Die Hard: With a Vengeance', 'North']"
462,Maggie Smith,"['Harry Potter and the Chamber of Secrets', 'Hook', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Oh! What a Lovely War', 'The Secret Garden', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Othello', 'Harry Potter and the Half-Blood Prince', 'Sister Act 2: Back in the Habit']"
463,Richard Todd,"['The Dam Busters', 'The Longest Day', 'Stage Fright']"
464,Kristen Bell,"['Spartan', 'Fanboys']"
465,John Lithgow,"['Cliffhanger', 'Rugrats in Paris: The Movie', 'Kinsey', 'Obsession', 'Orange County', '2010: The Year We Make Contact', 'Manhattan Project', 'Twilight Zone: The Movie']"
466,Emma Thompson,"['Harry Potter and the Prisoner of Azkaban', 'Imagining Argentina', 'Impromptu', ""Peter's Friends"", 'Harry Potter and the Order of the Phoenix', 'Junior', 'Sense and Sensibility', 'Henry V', 'Howards End']"
467,William H. Macy,"['Cellular', 'Seabiscuit', 'Spartan', 'Air Force One', 'Magnolia', 'Sahara', 'Panic', 'Fargo', ""Mr. Holland's Opus""]"
468,David Keith,"['Sabretooth', 'Behind Enemy Lines']"
469,Kristen Wilson,"['Dungeons & Dragons', 'Dr. Dolittle 2']"
470,Ricky Nelson,"['Rio Bravo', 'Love and Kisses']"
471,Ioan Gruffudd,"['Fantastic Four', 'King Arthur', 'Wilde', 'Titanic']"
472,Chris Evans,"['Fantastic Four', 'Cellular']"
473,Brendan Gleeson,"['The Village', 'Michael Collins', 'Into the West', 'Cold Mountain', 'Harry Potter and the Goblet of Fire', 'A.I.', 'Kingdom of Heaven', 'Lake Placid', 'Troy', 'Mission: Impossible II']"
474,Embeth Davidtz,"[""The Emperor's Club"", 'Fallen', 'The Hole', ""Schindler's List"", 'Matilda']"
475,Corey Feldman,"[""National Lampoon's Last Resort"", ""The 'Burbs"", 'Stand by Me']"
476,Francis L. Sullivan,"['Joan of Arc', 'Oliver Twist']"
477,Gracy Singh,"['Munna Bhai M.B.B.S.', 'Lagaan: Once Upon a Time in India']"
478,Linda Bassett,['East is East']
479,Conrad Veidt,"['Contraband', 'Casablanca']"
480,Renoly Santiago,"['Hackers', 'Daylight']"
481,Greta Scacchi,"['Beyond the Sea', 'Presumed Innocent']"
482,Richard Lineback,"['Twister', 'Speed']"
483,Jerry Stiller,"['The Lion King 1Â½', 'Heavy Weights', ""Amy Stiller's Breast"", 'The Taking of Pelham One Two Three']"
484,Timothy Busfield,"['Sneakers', 'Revenge of the Nerds II: Nerds in Paradise', 'Stripes']"
485,Terry Kiser,"[""Weekend at Bernie's"", ""Weekend at Bernie's II""]"
486,Gerrit Graham,"['Pretty Baby', ""Child's Play 2""]"
487,Himani Shivpuri,"['Mujhse Dosti Karoge!', 'Khabi Khushi Kabhi Gham', 'Dilwale Dulhaniy Le Jayenge']"
488,Trinidad Silva,"['UHF', 'El Norte']"
489,Paul L. Smith,"['Dune', 'Popeye']"
490,Michael Rispoli,"['Volcano', 'Rounders', 'Snake Eyes']"
491,Paulina Porizkova,"['Thursday', 'Anna']"
492,John Hawkes,['Identity']
493,Bibi Andersson,"['Wild Strawberries', 'Quintet', 'Persona', 'Scenes from a Marriage']"
494,Ralph Truman,"['Oliver Twist', 'Quo Vadis']"
495,Paul Dooley,"['Cars', 'Popeye']"
496,Lauren Tom,"['Batman Beyond: Return of the Joker', 'Nothing Lasts Forever', 'When a Man Loves a Woman', 'North']"
497,Irene Handl,"[""I'm All Right Jack"", 'Morgan: A Suitable Case for Treatment']"
498,Michael Chiklis,"['Fantastic Four', 'Soldier', 'Nixon']"
499,Matt Craven,"['Assault on Precinct 13', ""Jacob's Ladder"", 'Timeline', 'Crimson Tide']"
500,David Cubitt,"['Alive', '10.5']"
501,Robin Curtis,"['Star Trek III: The Search for Spock', 'Star Trek IV: The Voyage Home']"
502,Devon Murray,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
503,Claire Bloom,"['Limelight', 'The Haunting', 'Daylight', 'Richard III']"
504,Richard Jenkins,"['Shall We Dance?', 'Cheaper by the Dozen', ""The Man Who Wasn't There"", 'Me, Myself & Irene']"
505,Michael Kopelow,"[""Don't Tell Mom the Babysitter's Dead"", 'Point Break']"
506,Dennis Hopper,"['Easy Rider', 'Super Mario Bros.', ""Hearts of Darkness: A Filmmakers's Apocalypse"", 'The Osterman Weekend', 'Ticker', 'The Trip', 'Out of the Blue', 'Speed']"
507,Julianna Margulies,"['Dinosaur', 'Ghost Ship']"
508,Clifton Powell,"['Rush Hour', 'Ray']"
509,George Peppard,"[""Breakfast at Tiffany's"", 'Tobruk', 'How the West Was Won']"
510,Bobcat Goldthwait,"['Hercules', 'Medusa: Dare to Be Truthful', 'Police Academy']"
511,Alun Armstrong,"['The Saint', 'Eragon']"
512,Pat Carroll,"['The Little Mermaid II: Return to the Sea', 'The Little Mermaid']"
513,Noah Emmerich,"['Cellular', 'Frequency', 'Miracle']"
514,Gong Li,"['2046', ""Zhou Yu's Train""]"
515,Seth Green,"['Austin Powers: Goldmember', 'It', 'Scooby-Doo 2: Monsters Unleashed', ""Can't Hardly Wait"", 'Enemy of the State', 'Rat Race', ""America's Sweethearts""]"
516,Frayne Rosanoff,"['Python', 'Longshot']"
517,Angie Dickinson,"['Sabrina', ""Ocean's Eleven"", 'Rio Bravo', 'Captain Newman, M.D.', 'Point Blank', 'Pay It Forward']"
518,Vladimir Mashkov,['Behind Enemy Lines']
519,Kristen Stewart,"['Speak', 'Panic Room']"
520,Tony Lo Bianco,"['F.I.S.T', 'The French Connection', 'Jesus of Nazareth']"
521,Eric Roberts,"['Doctor Who', 'Runaway Train']"
522,Jay Mohr,"['Pay It Forward', 'Are We There Yet', 'Go']"
